,15,ม.1 ทั่วไป ในเขต,ห้องเรียนทั่วไป,ในเขตพื้นที่บริการ,1,1n,NULL,
,NULL,ม.1 ทั่วไป ในเขต-ไม่ครบ,ห้องเรียนทั่วไป,ในเขตพื้นที่บริการ (คุณสมบัติไม่ครบ),1,1n,deprecated,
,16,ม.1 ทั่วไป นอกเขต,ห้องเรียนทั่วไป,นอกเขตพื้นที่บริการ,1,1n,NULL,
,17,ม.1 ทั่วไป ความสามารถ,ห้องเรียนทั่วไป,ความสามารถพิเศษ,1,1n,NULL,
,11,ม.1 พิเศษคณิตศาสตร์,ห้องเรียนพิเศษคณิตศาสตร์,NULL,1,1m,NULL,
,NULL,ม.1 พิเศษวิทยาศาสตร์ฯ,ห้องเรียนพิเศษวิทยาศาสตร์ คณิตศาสตร์ เทคโนโลยี และสิ่งแวดล้อม ตามแนวทาง สสวท. และ สอวน.,NULL,1,1s,deprecated,
,12,ม.1 พิเศษวิทย์ฯ สอวน.,NULL,NULL,1,1p,NULL,
,13,ม.1 พิเศษวิทย์ฯ สสวท.,NULL,NULL,1,1i,NULL,
,14,ม.1 พิเศษ EP,ห้องเรียนพิเศษ English Program,NULL,1,1e,NULL,
,23,ม.4 ทั่วไป,ห้องเรียนทั่วไป,NULL,4,4n,NULL,
,21,ม.4 พิเศษวิทย์-คณิตฯ,ห้องเรียนพิเศษวิทยาศาสตร์ คณิตศาสตร์ เทคโนโลยี และสิ่งแวดล้อม,NULL,4,4s,NULL,
,22,ม.4 พสวท,โครงการห้องเรียน พสวท. (สู่ความเป็นเลิศ),NULL,4,4d,NULL,
